@relation folhas_neem

@attribute area_folha numeric
@attribute area_manchas numeric
@attribute cor_media numeric
@attribute classe {saudavel,doente}

@data
6891.00,300363.00,166.69,saudavel
9195.00,298214.00,165.36,saudavel
15617.00,291928.00,169.06,saudavel
12330.00,294941.00,167.38,saudavel
14781.00,292813.00,167.05,saudavel
22216.00,285574.00,195.02,saudavel
17338.00,290224.00,168.84,saudavel
16179.00,291544.00,167.88,saudavel
16080.00,291429.00,166.99,saudavel
10968.00,296197.00,170.55,saudavel
20664.00,286897.00,168.76,saudavel
16788.00,290730.00,166.11,saudavel
14190.00,293365.00,166.51,saudavel
14564.00,293021.00,164.15,saudavel
15198.00,292284.00,167.29,saudavel
8850.00,298521.00,165.67,saudavel
22916.00,284714.00,196.75,saudavel
17441.00,290178.00,168.44,saudavel
13737.00,293808.00,168.58,saudavel
12870.00,294663.00,168.37,saudavel
11425.00,296142.00,168.58,saudavel
15254.00,292299.00,168.76,saudavel
10154.00,297484.00,164.15,saudavel
9156.00,298000.00,176.71,saudavel
7018.00,300394.00,165.77,saudavel
13283.00,294322.00,167.31,saudavel
9290.00,298189.00,161.24,saudavel
19393.00,288474.00,194.69,saudavel
14829.00,292795.00,164.24,saudavel
14140.00,293440.00,167.45,saudavel
10761.00,296738.00,166.20,saudavel
10473.00,296926.00,166.28,saudavel
15517.00,292024.00,167.25,saudavel
10031.00,297447.00,170.10,saudavel
16422.00,291160.00,165.50,saudavel
9278.00,298156.00,173.07,saudavel
11548.00,295945.00,165.43,saudavel
11110.00,296175.00,191.16,saudavel
10527.00,296674.00,167.20,doente
23238.00,284674.00,177.73,doente
18089.00,289318.00,191.66,doente
11803.00,295388.00,168.60,doente
11011.00,296517.00,186.64,doente
14292.00,293296.00,152.87,doente
19773.00,287707.00,167.17,doente
17833.00,289775.00,195.59,doente
25782.00,281744.00,193.42,doente
23668.00,284026.00,197.15,doente
13651.00,294155.00,196.20,doente
15015.00,292946.00,196.98,doente
19847.00,287836.00,175.44,doente
14949.00,292922.00,195.14,doente
20813.00,287575.00,186.49,doente
28055.00,279358.00,195.34,doente
18725.00,288773.00,195.77,doente
15634.00,291967.00,192.31,doente
16613.00,291009.00,168.31,doente
17869.00,289708.00,196.48,doente
15083.00,292595.00,191.91,doente
18597.00,288938.00,196.63,doente
17747.00,289799.00,196.11,doente
16268.00,291453.00,173.22,doente
8254.00,299164.00,171.23,doente
9105.00,298479.00,168.60,doente
10074.00,297398.00,171.53,doente
13046.00,294562.00,173.41,doente
10036.00,297479.00,171.14,doente
8522.00,162010.00,171.00,doente
11961.00,295368.00,171.56,doente
9353.00,153285.00,174.37,doente
8149.00,299240.00,165.24,doente
11810.00,295543.00,166.91,doente
9414.00,297867.00,168.56,doente
14085.00,293413.00,163.79,doente
14410.00,293176.00,168.26,doente
13668.00,293820.00,171.08,doente
14546.00,293226.00,173.26,doente
